delivery_id,order_id,delivery_status,delivery_time,rider_id
132,O132,notdelivered,11:01:00 PM,R6
133,O133,delivered,8:26:00 PM,R7
134,O134,delivered,6:59:00 AM,R1
135,O135,notdelivered,6:32:00 PM,R2
136,O136,delivered,5:19:00 PM,R3
137,O137,delivered,3:34:00 AM,R4
138,O138,notdelivered,10:30:00 PM,R5
139,O139,delivered,4:24:00 PM,R6
140,O140,delivered,6:58:00 AM,R7
141,O141,notdelivered,4:11:00 PM,R1
142,O142,delivered,1:44:00 AM,R2
143,O143,notdelivered,11:51:00 PM,R4
144,O144,delivered,6:56:00 PM,R5
145,O145,delivered,7:54:00 PM,R6
146,O146,notdelivered,6:34:00 PM,R7
147,O147,delivered,5:52:00 PM,R6
148,O148,notdelivered,3:29:00 AM,R7
149,O149,delivered,10:02:00 AM,R1
150,O150,delivered,3:44:00 PM,R2
151,O151,delivered,12:56:00 AM,R3
152,O152,delivered,2:17:00 AM,R4
153,O153,delivered,2:51:00 PM,R5
154,O154,delivered,2:24:00 PM,R6
155,O155,notdelivered,7:24:00 AM,R7
156,O156,notdelivered,2:01:00 AM,R1
157,O157,delivered,10:19:00 AM,R2
158,O158,notdelivered,1:03:00 AM,R3
159,O159,delivered,12:24:00 AM,R4
160,O160,notdelivered,1:20:00 PM,R1
161,O161,delivered,6:35:00 AM,R2
162,O162,notdelivered,5:15:00 AM,R3
163,O163,delivered,8:57:00 PM,R4
164,O164,notdelivered,12:34:00 AM,R5
165,O165,notdelivered,5:50:00 AM,R6
166,O166,delivered,12:37:00 PM,R7
167,O167,delivered,1:38:00 AM,R6
168,O168,delivered,4:19:00 AM,R7
169,O169,notdelivered,3:16:00 AM,R1
170,O170,notdelivered,5:07:00 PM,R2
171,O171,delivered,1:02:00 AM,R3
172,O172,notdelivered,7:42:00 PM,R4
173,O173,notdelivered,8:22:00 AM,R5
174,O174,delivered,10:52:00 PM,R6
175,O175,delivered,8:05:00 AM,R7
176,O176,notdelivered,8:23:00 AM,R1
177,O177,delivered,12:09:00 AM,R2
178,O178,notdelivered,2:49:00 AM,R3
179,O179,delivered,3:59:00 AM,R4
180,O180,notdelivered,8:25:00 PM,R5
181,O181,delivered,4:32:00 AM,R6
182,O182,notdelivered,12:48:00 AM,R7
183,O183,delivered,2:54:00 PM,R1
184,O184,notdelivered,1:34:00 AM,R2
185,O185,notdelivered,8:28:00 PM,R3
186,O186,delivered,12:08:00 AM,R4
187,O187,delivered,10:45:00 PM,R5
188,O188,notdelivered,12:19:00 AM,R6
189,O189,notdelivered,11:10:00 PM,R7
190,O190,notdelivered,2:01:00 AM,R1
191,O191,delivered,10:10:00 PM,R2
192,O192,notdelivered,12:49:00 PM,R3
193,O193,notdelivered,9:48:00 AM,R4
194,O194,delivered,7:20:00 AM,R5
195,O195,delivered,9:50:00 AM,R6
196,O196,notdelivered,10:53:00 PM,R7
197,O197,notdelivered,12:00:00 PM,R1
198,O198,notdelivered,1:31:00 AM,R2
199,O199,notdelivered,10:20:00 AM,R3
200,O200,notdelivered,3:04:00 AM,R4
201,O201,delivered,5:37:00 PM,R5
202,O202,notdelivered,2:40:00 AM,R6
203,O203,delivered,8:22:00 PM,R7
204,O204,notdelivered,10:44:00 PM,R6
205,O205,delivered,9:29:00 PM,R7
206,O206,notdelivered,11:31:00 AM,R1
207,O207,delivered,5:21:00 PM,R2
208,O208,delivered,1:20:00 PM,R3
209,O209,delivered,6:58:00 AM,R4
210,O210,delivered,2:05:00 AM,R5
211,O211,delivered,8:51:00 AM,R6
212,O212,delivered,2:46:00 PM,R7
213,O213,delivered,11:47:00 AM,R1
214,O214,notdelivered,12:50:00 AM,R2
215,O215,delivered,10:07:00 AM,R3
216,O216,delivered,4:17:00 AM,R4
217,O217,delivered,6:37:00 PM,R1
218,O218,delivered,9:46:00 AM,R2
219,O219,delivered,11:33:00 PM,R3
220,O220,notdelivered,5:20:00 PM,R4
221,O221,delivered,3:42:00 PM,R5
222,O222,delivered,12:44:00 AM,R6
223,O223,notdelivered,8:11:00 AM,R7
224,O224,notdelivered,5:38:00 PM,R6
225,O225,delivered,7:52:00 PM,R7
226,O226,delivered,12:00:00 PM,R1
227,O227,notdelivered,10:46:00 AM,R2
228,O228,delivered,8:28:00 AM,R3
229,O229,delivered,3:50:00 AM,R4
230,O230,delivered,2:14:00 AM,R5
231,O231,delivered,2:02:00 AM,R6
232,O232,delivered,1:59:00 AM,R7
233,O233,delivered,7:43:00 AM,R5
234,O234,notdelivered,12:17:00 PM,R6
235,O235,delivered,10:55:00 PM,R7
236,O236,delivered,2:27:00 PM,R6
237,O237,notdelivered,6:53:00 PM,R7
238,O238,delivered,4:55:00 PM,R1
239,O239,delivered,8:46:00 AM,R2
240,O240,notdelivered,5:45:00 PM,R3
241,O241,delivered,9:59:00 PM,R4
242,O242,notdelivered,3:12:00 PM,R5
243,O243,notdelivered,5:58:00 PM,R6
244,O244,delivered,1:23:00 AM,R7
245,O245,notdelivered,7:09:00 PM,R1
246,O246,delivered,6:06:00 PM,R2
247,O247,notdelivered,2:38:00 AM,R3
248,O248,delivered,12:02:00 PM,R4
249,O249,delivered,12:03:00 AM,R5
250,O250,delivered,1:30:00 PM,R6
251,O251,delivered,11:48:00 PM,R7
252,O252,notdelivered,7:07:00 PM,R1
253,O253,notdelivered,10:34:00 AM,R2
254,O254,notdelivered,5:16:00 PM,R3
255,O255,delivered,3:40:00 AM,R4
256,O256,delivered,11:41:00 AM,R5
257,O257,notdelivered,4:32:00 PM,R6
258,O258,notdelivered,3:01:00 AM,R7
259,O259,delivered,1:00:00 AM,R1
260,O260,delivered,4:56:00 AM,R2
261,O261,delivered,12:28:00 PM,R4
262,O262,delivered,4:29:00 AM,R5
263,O263,delivered,6:19:00 AM,R6
264,O264,notdelivered,1:00:00 AM,R7
265,O265,delivered,8:31:00 AM,R6
266,O266,notdelivered,12:41:00 PM,R7
267,O267,delivered,7:34:00 AM,R1
268,O268,notdelivered,6:35:00 PM,R2
269,O269,notdelivered,1:59:00 AM,R3
270,O270,delivered,9:38:00 AM,R4
271,O271,notdelivered,5:38:00 PM,R5
272,O272,delivered,1:21:00 PM,R6
273,O273,notdelivered,3:50:00 AM,R7
274,O274,delivered,9:27:00 AM,R1
275,O275,notdelivered,1:16:00 AM,R2
276,O276,delivered,6:54:00 AM,R3
277,O277,notdelivered,3:01:00 AM,R4
278,O278,notdelivered,7:45:00 AM,R1
279,O279,delivered,10:40:00 AM,R2
280,O280,delivered,7:26:00 PM,R3
281,O281,notdelivered,1:23:00 AM,R4
282,O282,notdelivered,1:26:00 AM,R5
283,O283,notdelivered,5:27:00 AM,R6
284,O284,delivered,2:08:00 PM,R7
285,O285,notdelivered,5:10:00 AM,R6
286,O286,notdelivered,9:32:00 AM,R7
287,O287,notdelivered,11:53:00 PM,R1
288,O288,notdelivered,5:39:00 PM,R2
289,O289,notdelivered,4:01:00 AM,R3
290,O290,notdelivered,1:23:00 PM,R4
291,O291,notdelivered,2:58:00 AM,R5
292,O292,notdelivered,6:18:00 PM,R6
293,O293,notdelivered,8:05:00 AM,R7
294,O294,notdelivered,3:10:00 PM,R1
295,O295,notdelivered,4:20:00 PM,R2
296,O296,delivered,8:09:00 PM,R3
297,O297,notdelivered,2:38:00 PM,R4
298,O298,delivered,6:53:00 PM,R5
299,O299,notdelivered,8:15:00 PM,R6
300,O300,delivered,10:17:00 PM,R7
301,O301,delivered,1:53:00 PM,R1
302,O302,notdelivered,2:24:00 AM,R2
303,O303,notdelivered,10:54:00 PM,R3
304,O304,delivered,11:57:00 PM,R4
305,O305,notdelivered,7:32:00 PM,R5
306,O306,delivered,4:52:00 AM,R6
307,O307,delivered,2:18:00 AM,R7
308,O308,delivered,8:13:00 PM,R1
309,O309,notdelivered,4:10:00 PM,R2
310,O310,notdelivered,11:42:00 PM,R3
311,O311,notdelivered,1:09:00 PM,R4
312,O312,delivered,7:37:00 PM,R5
313,O313,delivered,6:11:00 PM,R6
314,O314,notdelivered,12:13:00 AM,R7
315,O315,notdelivered,11:09:00 AM,R1
316,O316,notdelivered,11:07:00 PM,R2
317,O317,notdelivered,4:17:00 PM,R3
318,O318,notdelivered,3:32:00 AM,R4
319,O319,delivered,7:38:00 PM,R5
320,O320,delivered,11:14:00 PM,R6
321,O321,delivered,7:50:00 AM,R7
322,O322,notdelivered,7:17:00 AM,R6
323,O323,delivered,5:44:00 AM,R7
324,O324,notdelivered,12:32:00 PM,R1
325,O325,delivered,6:48:00 PM,R2
326,O326,notdelivered,2:47:00 AM,R3
327,O327,notdelivered,12:25:00 AM,R4
328,O328,notdelivered,9:48:00 AM,R5
329,O329,delivered,7:28:00 PM,R6
330,O330,notdelivered,12:43:00 PM,R7
331,O331,notdelivered,1:58:00 AM,R1
332,O332,delivered,11:24:00 AM,R2
333,O333,delivered,6:28:00 AM,R3
334,O334,notdelivered,3:06:00 PM,R4
335,O335,notdelivered,6:59:00 PM,R1
336,O336,notdelivered,1:52:00 PM,R2
337,O337,notdelivered,11:02:00 AM,R3
338,O338,notdelivered,9:30:00 PM,R4
339,O339,delivered,1:45:00 PM,R5
340,O340,delivered,7:09:00 PM,R6
341,O341,delivered,2:22:00 PM,R7
342,O342,delivered,6:30:00 AM,R6
343,O343,notdelivered,10:26:00 PM,R7
344,O344,notdelivered,4:00:00 PM,R1
345,O345,notdelivered,11:34:00 PM,R2
346,O346,delivered,8:17:00 PM,R3
347,O347,notdelivered,1:49:00 PM,R4
348,O348,delivered,1:51:00 PM,R5
349,O349,delivered,9:26:00 PM,R6
350,O350,notdelivered,10:48:00 PM,R7
351,O351,notdelivered,3:52:00 AM,R5
352,O352,delivered,1:50:00 AM,R6
353,O353,notdelivered,3:57:00 PM,R7
354,O354,notdelivered,8:21:00 AM,R6
355,O355,notdelivered,5:20:00 PM,R7
356,O356,delivered,4:03:00 PM,R1
357,O357,notdelivered,7:43:00 PM,R2
358,O358,notdelivered,9:19:00 PM,R3
359,O359,notdelivered,1:02:00 AM,R4
360,O360,delivered,8:12:00 PM,R5
361,O361,notdelivered,6:24:00 AM,R6
362,O362,notdelivered,5:13:00 PM,R7
363,O363,notdelivered,11:16:00 PM,R1
364,O364,notdelivered,2:03:00 AM,R2
365,O365,notdelivered,4:27:00 PM,R3
366,O366,delivered,11:36:00 AM,R4
367,O367,notdelivered,6:41:00 AM,R5
368,O368,delivered,2:48:00 PM,R6
369,O369,delivered,9:30:00 AM,R7
370,O370,delivered,1:28:00 AM,R1
371,O371,delivered,12:51:00 AM,R2
372,O372,notdelivered,9:10:00 PM,R3
373,O373,notdelivered,2:22:00 PM,R4
374,O374,delivered,9:19:00 PM,R5
375,O375,delivered,11:37:00 AM,R6
376,O376,notdelivered,9:07:00 PM,R7
377,O377,notdelivered,9:31:00 AM,R1
378,O378,delivered,2:29:00 PM,R2
379,O379,delivered,1:29:00 AM,R5
380,O380,delivered,8:53:00 AM,R6
381,O381,delivered,6:29:00 PM,R7
382,O382,notdelivered,8:40:00 AM,R1
383,O383,delivered,4:51:00 AM,R2
384,O384,notdelivered,3:31:00 PM,R3
385,O385,delivered,7:17:00 AM,R4
386,O386,notdelivered,5:55:00 AM,R5
387,O387,delivered,1:38:00 PM,R6
388,O388,notdelivered,1:33:00 AM,R7
389,O389,notdelivered,1:06:00 AM,R1
390,O390,notdelivered,7:17:00 AM,R2
391,O391,delivered,3:46:00 AM,R4
392,O392,notdelivered,3:01:00 AM,R5
393,O393,notdelivered,2:04:00 PM,R6
394,O394,delivered,4:14:00 AM,R7
395,O395,notdelivered,11:24:00 PM,R6
396,O396,delivered,5:20:00 PM,R7
397,O397,notdelivered,5:18:00 PM,R1
398,O398,delivered,8:38:00 AM,R2
399,O399,notdelivered,7:36:00 PM,R3
400,O400,delivered,9:53:00 AM,R4
401,O401,delivered,1:44:00 AM,R5
402,O402,notdelivered,3:05:00 AM,R6
403,O403,notdelivered,2:09:00 AM,R7
404,O404,delivered,10:05:00 PM,R1
405,O405,notdelivered,3:24:00 AM,R2
406,O406,notdelivered,2:21:00 PM,R3
407,O407,notdelivered,12:49:00 AM,R4
408,O408,delivered,7:04:00 AM,R1
409,O409,notdelivered,3:40:00 PM,R2
410,O410,notdelivered,6:20:00 AM,R3
411,O411,delivered,3:41:00 AM,R4
412,O412,delivered,11:39:00 PM,R5
413,O413,notdelivered,5:37:00 AM,R6
414,O414,delivered,5:19:00 PM,R7
415,O415,notdelivered,9:29:00 AM,R6
416,O416,delivered,3:15:00 PM,R7
417,O417,notdelivered,3:10:00 AM,R1
418,O418,delivered,4:19:00 AM,R2
419,O419,delivered,7:34:00 AM,R3
420,O420,notdelivered,2:52:00 AM,R4
421,O421,notdelivered,11:22:00 AM,R5
422,O422,delivered,12:34:00 PM,R6
423,O423,delivered,10:58:00 PM,R7
424,O424,notdelivered,7:16:00 PM,R1
425,O425,delivered,4:18:00 AM,R2
426,O426,notdelivered,11:43:00 PM,R3
427,O427,notdelivered,9:21:00 PM,R4
428,O428,notdelivered,3:41:00 PM,R5
429,O429,notdelivered,7:56:00 PM,R6
430,O430,delivered,2:51:00 PM,R7
431,O431,delivered,11:47:00 AM,R1
432,O432,notdelivered,4:29:00 PM,R2
433,O433,notdelivered,11:52:00 AM,R3
434,O434,notdelivered,5:27:00 AM,R4
435,O435,notdelivered,3:08:00 AM,R5
436,O436,delivered,12:41:00 PM,R6
437,O437,delivered,7:45:00 PM,R7
438,O438,notdelivered,11:25:00 AM,R1
439,O439,notdelivered,8:32:00 AM,R2
440,O440,notdelivered,10:01:00 AM,R3
441,O441,delivered,9:59:00 PM,R4
442,O442,notdelivered,3:45:00 PM,R5
443,O443,delivered,2:36:00 AM,R6
444,O444,delivered,6:35:00 AM,R7
445,O445,notdelivered,5:49:00 PM,R1
446,O446,notdelivered,5:00:00 AM,R2
447,O447,notdelivered,1:58:00 AM,R3
448,O448,delivered,11:55:00 PM,R4
449,O449,delivered,9:48:00 AM,R5
450,O450,delivered,3:49:00 PM,R6
451,O451,notdelivered,12:21:00 PM,R7
452,O452,notdelivered,2:34:00 AM,R6
453,O453,delivered,9:20:00 AM,R7
454,O454,notdelivered,7:47:00 AM,R1
455,O455,notdelivered,10:05:00 AM,R2
456,O456,delivered,4:22:00 AM,R3
457,O457,delivered,5:07:00 PM,R4
458,O458,notdelivered,7:59:00 AM,R5
459,O459,delivered,1:04:00 AM,R6
460,O460,notdelivered,9:53:00 PM,R7
461,O461,notdelivered,1:05:00 PM,R1
462,O462,notdelivered,12:26:00 AM,R2
463,O463,delivered,3:44:00 AM,R3
464,O464,notdelivered,4:55:00 AM,R4
465,O465,notdelivered,4:55:00 AM,R1
466,O466,notdelivered,12:00:00 AM,R2
467,O467,notdelivered,3:18:00 AM,R3
468,O468,delivered,3:41:00 PM,R4
469,O469,notdelivered,1:27:00 AM,R5
470,O470,delivered,12:10:00 AM,R6
471,O471,delivered,9:03:00 AM,R7
472,O472,notdelivered,9:14:00 AM,R6
473,O473,notdelivered,3:09:00 PM,R7
474,O474,delivered,10:32:00 AM,R1
475,O475,delivered,10:10:00 AM,R2
476,O476,delivered,8:09:00 AM,R3
477,O477,notdelivered,4:53:00 AM,R4
478,O478,notdelivered,8:47:00 PM,R5
479,O479,notdelivered,8:08:00 PM,R6
480,O480,notdelivered,6:53:00 PM,R7
481,O481,delivered,8:01:00 AM,R5
482,O482,notdelivered,2:17:00 PM,R6
483,O483,notdelivered,8:36:00 PM,R7
484,O484,notdelivered,12:21:00 AM,R6
485,O485,notdelivered,6:32:00 AM,R7
486,O486,notdelivered,12:34:00 AM,R1
487,O487,notdelivered,6:37:00 AM,R2
488,O488,notdelivered,3:21:00 PM,R3
489,O489,delivered,3:43:00 AM,R4
490,O490,delivered,10:10:00 AM,R5
491,O491,notdelivered,2:26:00 AM,R6
492,O492,delivered,1:16:00 PM,R7
493,O493,delivered,1:57:00 PM,R1
494,O494,notdelivered,8:09:00 PM,R2
495,O495,notdelivered,8:13:00 AM,R3
496,O496,delivered,9:11:00 AM,R4
497,O497,delivered,7:16:00 AM,R5
498,O498,notdelivered,8:29:00 AM,R6
499,O499,delivered,2:22:00 AM,R7
500,O500,delivered,10:18:00 AM,R1
501,O501,notdelivered,5:37:00 PM,R2
502,O502,delivered,10:39:00 PM,R3
503,O503,notdelivered,6:05:00 AM,R4
504,O504,notdelivered,4:19:00 AM,R5
505,O505,delivered,3:47:00 PM,R6
506,O506,notdelivered,1:36:00 PM,R5
507,O507,delivered,9:19:00 PM,R6
508,O508,delivered,10:35:00 AM,R7
509,O509,delivered,11:47:00 AM,R1
510,O510,notdelivered,2:34:00 PM,R2
511,O511,notdelivered,4:07:00 PM,R3
512,O512,notdelivered,7:28:00 PM,R4
513,O513,notdelivered,2:18:00 AM,R5
514,O514,notdelivered,6:39:00 AM,R6
515,O515,delivered,9:08:00 PM,R7
516,O516,notdelivered,4:36:00 PM,R1
517,O517,notdelivered,7:48:00 PM,R2
518,O518,delivered,1:36:00 AM,R4
519,O519,delivered,12:44:00 AM,R5
520,O520,delivered,8:44:00 AM,R6
521,O521,delivered,7:31:00 AM,R7
522,O522,notdelivered,12:24:00 PM,R6
523,O523,notdelivered,3:13:00 AM,R7
524,O524,delivered,11:53:00 AM,R1
525,O525,delivered,5:14:00 PM,R2
526,O526,notdelivered,4:14:00 AM,R3
527,O527,notdelivered,11:14:00 AM,R4
528,O528,delivered,1:34:00 PM,R5
529,O529,delivered,5:56:00 PM,R6
530,O530,delivered,12:44:00 AM,R7
531,O531,notdelivered,9:02:00 AM,R1
532,O532,notdelivered,6:26:00 AM,R2
533,O533,notdelivered,9:21:00 PM,R3
534,O534,delivered,10:35:00 PM,R4
535,O535,delivered,2:11:00 PM,R1
536,O536,notdelivered,3:33:00 AM,R2
537,O537,delivered,9:58:00 PM,R3
538,O538,notdelivered,8:38:00 PM,R4
539,O539,delivered,10:24:00 AM,R5
540,O540,notdelivered,12:39:00 PM,R6
541,O541,notdelivered,9:53:00 AM,R7
542,O542,delivered,11:38:00 AM,R6
543,O543,delivered,12:19:00 AM,R7
544,O544,delivered,11:39:00 PM,R1
545,O545,notdelivered,1:09:00 PM,R2
546,O546,notdelivered,1:44:00 AM,R3
547,O547,delivered,3:39:00 AM,R4
548,O548,notdelivered,2:24:00 PM,R5
549,O549,delivered,2:28:00 AM,R6
550,O550,delivered,8:15:00 PM,R7
551,O551,delivered,3:17:00 AM,R1
552,O552,notdelivered,2:51:00 AM,R2
553,O553,delivered,2:33:00 AM,R3
554,O554,delivered,1:53:00 AM,R4
555,O555,notdelivered,11:25:00 PM,R5
556,O556,notdelivered,12:52:00 AM,R6
557,O557,delivered,3:28:00 AM,R7
558,O558,delivered,4:55:00 AM,R1
559,O559,delivered,4:12:00 PM,R2
560,O560,delivered,9:37:00 PM,R3
561,O561,delivered,7:44:00 PM,R4
562,O562,delivered,8:53:00 AM,R5
563,O563,notdelivered,3:13:00 AM,R6
564,O564,notdelivered,5:19:00 AM,R7
565,O565,notdelivered,7:57:00 AM,R1
566,O566,notdelivered,10:31:00 PM,R2
567,O567,delivered,5:40:00 PM,R3
568,O568,notdelivered,12:40:00 PM,R4
569,O569,delivered,3:32:00 AM,R5
570,O570,delivered,4:12:00 AM,R6
571,O571,notdelivered,5:59:00 AM,R7
572,O572,delivered,11:01:00 PM,R1
573,O573,notdelivered,4:05:00 PM,R2
574,O574,notdelivered,3:37:00 PM,R3
575,O575,notdelivered,6:16:00 AM,R4
576,O576,notdelivered,7:07:00 PM,R5
577,O577,delivered,1:22:00 AM,R6
578,O578,delivered,9:32:00 AM,R7
579,O579,delivered,10:05:00 AM,R6
580,O580,notdelivered,5:38:00 PM,R7
581,O581,delivered,6:42:00 PM,R1
582,O582,notdelivered,2:05:00 PM,R2
583,O583,notdelivered,4:47:00 AM,R3
584,O584,delivered,8:43:00 AM,R4
585,O585,notdelivered,11:06:00 PM,R5
586,O586,delivered,11:10:00 AM,R6
587,O587,delivered,9:15:00 PM,R7
588,O588,notdelivered,10:26:00 AM,R1
589,O589,delivered,4:56:00 PM,R2
590,O590,notdelivered,9:13:00 PM,R3
591,O591,notdelivered,8:17:00 PM,R4
592,O592,delivered,1:15:00 PM,R1
593,O593,notdelivered,6:14:00 PM,R2
594,O594,delivered,1:19:00 PM,R3
595,O595,notdelivered,1:32:00 PM,R4
596,O596,delivered,1:08:00 AM,R5
597,O597,delivered,9:47:00 PM,R6
598,O598,delivered,11:20:00 AM,R7
599,O599,delivered,12:18:00 AM,R6
600,O600,notdelivered,1:42:00 PM,R7
601,O601,delivered,1:47:00 PM,R1
602,O602,notdelivered,9:12:00 AM,R2
603,O603,delivered,12:08:00 PM,R3
604,O604,delivered,5:16:00 AM,R4
605,O605,delivered,7:39:00 AM,R5
606,O606,delivered,9:52:00 PM,R6
607,O607,notdelivered,8:13:00 AM,R7
608,O608,notdelivered,3:22:00 AM,R5
609,O609,delivered,11:52:00 AM,R6
610,O610,notdelivered,4:17:00 AM,R7
611,O611,delivered,10:29:00 PM,R6
612,O612,delivered,10:42:00 PM,R7
613,O613,delivered,6:36:00 PM,R1
614,O614,delivered,4:36:00 PM,R2
615,O615,delivered,7:44:00 PM,R3
616,O616,notdelivered,1:53:00 PM,R4
617,O617,delivered,6:56:00 AM,R5
618,O618,delivered,8:57:00 PM,R6
619,O619,delivered,4:24:00 PM,R7
620,O620,notdelivered,5:20:00 PM,R1
621,O621,notdelivered,3:29:00 AM,R2
622,O622,delivered,6:59:00 PM,R3
623,O623,notdelivered,7:14:00 AM,R4
624,O624,notdelivered,2:17:00 PM,R5
625,O625,delivered,9:07:00 AM,R6
626,O626,notdelivered,8:38:00 PM,R7
627,O627,notdelivered,2:00:00 PM,R1
628,O628,notdelivered,10:32:00 AM,R2
629,O629,notdelivered,8:21:00 AM,R3
630,O630,delivered,10:35:00 PM,R4
631,O631,delivered,11:38:00 PM,R5
632,O632,notdelivered,1:10:00 PM,R6
633,O633,delivered,11:49:00 AM,R5
