order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
O89,C16,R15,Lettuce Romaine Chopped,3/20/2026,8:35:00 AM,Not fulfilled,33.8
O90,C17,R16,Lettuce Romaine Chopped,5/14/2026,12:54:00 AM,Not fulfilled,48.6
O91,C18,R17,Sandwich Wrap,8/7/2025,8:17:00 AM,completed,46.6
O92,C19,R18,Sandwich Wrap,3/10/2026,3:16:00 PM,Not fulfilled,11.3
O93,C20,R19,Sandwich Wrap,6/4/2025,6:22:00 AM,Not fulfilled,21.3
O94,C1,R20,Sandwich Wrap,6/21/2025,12:36:00 PM,completed,44.1
O95,C2,R21,Sandwich Wrap,3/30/2026,5:09:00 PM,completed,24.7
O96,C3,R22,Sandwich Wrap,6/28/2025,2:44:00 AM,Not fulfilled,14.8
O97,C4,R23,Sandwich Wrap,8/4/2025,4:06:00 PM,Not fulfilled,48.6
O98,C5,R24,Sandwich Wrap,3/10/2026,5:32:00 PM,completed,19.6
O99,C20,R20,Lettuce Romaine Chopped,4/2/2026,9:18:00 PM,Not fulfilled,31.6
O100,C5,R21,Lettuce Romaine Chopped,5/12/2026,11:07:00 PM,Not fulfilled,38.7
O101,C6,R22,Lettuce Romaine Chopped,7/12/2025,3:16:00 AM,Not fulfilled,32.3
O102,C7,R23,Lettuce Romaine Chopped,7/12/2025,8:38:00 AM,completed,31.8
O103,C8,R24,Lettuce Romaine Chopped,9/25/2025,3:15:00 AM,completed,33.6
O104,C9,R25,Lettuce Romaine Chopped,2/22/2026,12:41:00 PM,Not fulfilled,33.9
O105,C10,R26,Lettuce Romaine Chopped,11/3/2025,10:03:00 PM,Not fulfilled,23.5
O106,C11,R27,Lettuce Romaine Chopped,6/9/2025,11:51:00 AM,completed,12.1
O107,C12,R28,Lettuce Romaine Chopped,8/28/2025,8:31:00 PM,Not fulfilled,14.2
O108,C13,R1,Lettuce Romaine Chopped,4/14/2026,8:03:00 PM,Not fulfilled,18.4
O109,C14,R2,Lettuce Romaine Chopped,11/7/2025,11:46:00 AM,completed,8
O110,C15,R3,Lettuce Romaine Chopped,6/20/2025,2:02:00 PM,Not fulfilled,35.7
O111,C16,R4,Lettuce Romaine Chopped,11/4/2025,9:01:00 AM,Not fulfilled,38.9
O112,C17,R5,Lettuce Romaine Chopped,10/17/2025,4:41:00 PM,completed,39.3
O113,C18,R6,Lettuce Romaine Chopped,9/21/2025,11:25:00 PM,Not fulfilled,14.8
O114,C19,R7,Lettuce Romaine Chopped,3/4/2026,8:29:00 AM,Not fulfilled,44.6
O115,C20,R8,Lettuce Romaine Chopped,2/7/2026,12:21:00 AM,Not fulfilled,31.4
O116,C1,R9,Lettuce Romaine Chopped,3/28/2026,10:36:00 PM,Not fulfilled,27.8
O117,C2,R10,Lettuce Romaine Chopped,3/16/2026,8:21:00 AM,completed,24.8
O118,C3,R11,Lettuce Romaine Chopped,1/8/2026,12:18:00 PM,Not fulfilled,8.9
O119,C4,R1,Lettuce Romaine Chopped,11/28/2025,9:47:00 AM,completed,34.8
O120,C5,R2,Lettuce Romaine Chopped,8/18/2025,6:48:00 AM,Not fulfilled,5.7
O121,C5,R3,Lettuce Romaine Chopped,8/6/2025,5:24:00 AM,Not fulfilled,39.8
O122,C6,R4,Lettuce Romaine Chopped,3/2/2026,3:08:00 AM,completed,11.4
O123,C7,R5,Lettuce Romaine Chopped,7/27/2025,3:47:00 AM,completed,41.3
O124,C8,R6,Lettuce Romaine Chopped,11/8/2025,3:48:00 AM,Not fulfilled,30.9
O125,C9,R7,Lettuce Romaine Chopped,6/14/2025,2:04:00 PM,completed,20.5
O126,C10,R8,Lettuce Romaine Chopped,1/24/2026,2:55:00 AM,completed,23.6
O127,C11,R9,Lettuce Romaine Chopped,12/23/2025,9:08:00 AM,completed,22.9
O128,C12,R10,Lettuce Romaine Chopped,5/30/2026,7:21:00 AM,Not fulfilled,30.6
O129,C13,R11,Lettuce Romaine Chopped,2/13/2026,1:41:00 AM,Not fulfilled,14.5
O130,C14,R12,Lettuce Romaine Chopped,4/28/2026,4:02:00 AM,completed,28.2
O131,C15,R13,Lettuce Romaine Chopped,8/26/2025,9:31:00 PM,Not fulfilled,30.1
O132,C16,R14,Lettuce Romaine Chopped,9/6/2025,2:17:00 AM,Not fulfilled,42.3
O133,C17,R15,Lettuce Romaine Chopped,7/12/2025,1:13:00 AM,completed,28.1
O134,C18,R16,Lettuce Romaine Chopped,1/2/2026,1:19:00 AM,completed,19.5
O135,C19,R17,Lettuce Romaine Chopped,4/17/2026,4:39:00 AM,Not fulfilled,39.7
O136,C20,R18,Lettuce Romaine Chopped,5/14/2026,10:53:00 AM,completed,38.6
O137,C5,R19,Lettuce Romaine Chopped,5/7/2026,3:00:00 PM,completed,6.7
O138,C6,R20,Lettuce Romaine Chopped,1/28/2026,10:57:00 PM,Not fulfilled,35.2
O139,C7,R21,Lettuce Romaine Chopped,1/26/2026,9:22:00 PM,completed,32.5
O140,C8,R22,Lettuce Romaine Chopped,7/31/2025,5:33:00 PM,completed,7.8
O141,C9,R23,Lettuce Romaine Chopped,1/21/2026,1:51:00 PM,Not fulfilled,6.6
O142,C10,R24,Lettuce Romaine Chopped,8/7/2025,4:30:00 PM,completed,12.6
O143,C11,R25,Lettuce Romaine Chopped,5/24/2026,3:33:00 PM,Not fulfilled,31
O144,C12,R26,Lettuce Romaine Chopped,10/29/2025,4:53:00 PM,completed,26.2
O145,C13,R27,Lettuce Romaine Chopped,5/31/2025,11:33:00 AM,completed,5.1
O146,C14,R28,Lettuce Romaine Chopped,12/29/2025,4:21:00 PM,Not fulfilled,23.1
O147,C15,R1,Lettuce Romaine Chopped,8/2/2025,6:54:00 AM,completed,26.7
O148,C16,R2,Lettuce Romaine Chopped,1/28/2026,1:28:00 PM,Not fulfilled,23.7
O149,C17,R3,Lettuce Romaine Chopped,9/6/2025,2:37:00 AM,completed,18.9
O150,C18,R4,Lettuce Romaine Chopped,11/14/2025,1:29:00 AM,completed,11.4
O151,C19,R5,Lettuce Romaine Chopped,7/8/2025,4:27:00 PM,completed,27.7
O152,C20,R6,Lettuce Romaine Chopped,6/12/2025,2:56:00 AM,completed,43.3
O153,C1,R7,Lettuce Romaine Chopped,7/25/2025,1:23:00 PM,completed,6.3
O154,C2,R8,Lettuce Romaine Chopped,8/28/2025,6:23:00 AM,completed,7.6
O155,C3,R9,Lettuce Romaine Chopped,8/28/2025,7:28:00 AM,Not fulfilled,14.6
O156,C1,R10,Lettuce Romaine Chopped,7/1/2025,1:20:00 AM,Not fulfilled,6.5
O157,C2,R11,Lettuce Romaine Chopped,4/11/2026,3:54:00 AM,completed,16
O158,C3,R12,Lettuce Romaine Chopped,3/11/2026,6:45:00 AM,Not fulfilled,11.3
O159,C4,R13,Lettuce Romaine Chopped,5/20/2026,9:50:00 PM,completed,7.4
O160,C5,R14,Lettuce Romaine Chopped,12/17/2025,4:31:00 PM,Not fulfilled,10.1
O161,C6,R15,Lettuce Romaine Chopped,4/18/2026,2:39:00 AM,completed,17.1
O162,C7,R16,Sandwich Wrap,6/1/2025,5:00:00 AM,Not fulfilled,47.8
O163,C8,R17,Sandwich Wrap,1/19/2026,9:19:00 AM,completed,43.9
O164,C9,R18,Sandwich Wrap,10/24/2025,4:56:00 AM,Not fulfilled,44.7
O165,C10,R19,Sandwich Wrap,11/30/2025,1:45:00 AM,Not fulfilled,25.8
O166,C11,R20,Sandwich Wrap,5/4/2026,8:01:00 AM,completed,15.3
O167,C12,R3,Sandwich Wrap,5/26/2026,11:05:00 PM,completed,24.6
O168,C13,R4,Sandwich Wrap,8/7/2025,9:21:00 AM,completed,44.6
O169,C14,R5,Sandwich Wrap,11/26/2025,2:20:00 AM,Not fulfilled,24.6
O170,C15,R6,Sandwich Wrap,5/3/2026,5:16:00 AM,Not fulfilled,9.7
O171,C16,R7,Sandwich Wrap,4/23/2026,5:17:00 AM,completed,34.6
O172,C17,R8,Sandwich Wrap,4/26/2026,8:09:00 PM,Not fulfilled,14.2
O173,C18,R9,Sandwich Wrap,10/21/2025,8:18:00 AM,Not fulfilled,22
O174,C19,R10,Sandwich Wrap,7/19/2025,9:30:00 PM,completed,35.6
O175,C20,R11,Sandwich Wrap,5/21/2026,4:56:00 PM,completed,18.6
O176,C1,R12,Sandwich Wrap,9/23/2025,1:47:00 PM,Not fulfilled,19.6
O177,C2,R13,Sandwich Wrap,3/22/2026,2:50:00 AM,completed,41.4
O178,C3,R14,Sandwich Wrap,1/15/2026,10:14:00 AM,Not fulfilled,7.8
O179,C4,R15,Sandwich Wrap,8/29/2025,7:45:00 AM,completed,16.5
O180,C5,R16,Sandwich Wrap,5/28/2026,4:19:00 AM,Not fulfilled,36.2
O181,C6,R17,Sandwich Wrap,2/3/2026,3:12:00 PM,completed,12.4
O182,C7,R12,Sandwich Wrap,7/13/2025,12:03:00 AM,Not fulfilled,38.9
O183,C8,R13,Sandwich Wrap,2/1/2026,2:20:00 AM,completed,7.7
O184,C9,R14,Sandwich Wrap,7/15/2025,9:03:00 AM,Not fulfilled,17.8
O185,C10,R15,Sandwich Wrap,4/18/2026,9:53:00 AM,Not fulfilled,50
O186,C11,R16,Sandwich Wrap,8/28/2025,7:30:00 AM,completed,35.8
O187,C12,R17,Sandwich Wrap,1/21/2026,6:17:00 AM,completed,27.1
O188,C13,R12,Sandwich Wrap,6/10/2025,12:03:00 AM,Not fulfilled,47.6
O189,C14,R13,Sandwich Wrap,12/11/2025,8:00:00 PM,Not fulfilled,29.7
O190,C15,R14,Sandwich Wrap,7/7/2025,4:17:00 PM,Not fulfilled,45.2
O191,C16,R15,Sandwich Wrap,11/27/2025,6:04:00 PM,completed,32.9
O192,C17,R16,Sandwich Wrap,11/21/2025,8:50:00 AM,Not fulfilled,21.7
O193,C18,R17,Sandwich Wrap,4/18/2026,1:27:00 PM,Not fulfilled,19.1
O194,C19,R14,Sandwich Wrap,6/14/2025,2:33:00 AM,completed,46.8
O195,C20,R15,Sandwich Wrap,7/1/2025,10:17:00 AM,completed,17.6
O196,C5,R16,Sandwich Wrap,6/7/2025,5:29:00 AM,Not fulfilled,20.8
O197,C6,R17,Sandwich Wrap,6/14/2025,4:33:00 PM,Not fulfilled,47.3
O198,C7,R1,Sandwich Wrap,5/10/2026,1:58:00 PM,Not fulfilled,5.4
O199,C8,R2,Sandwich Wrap,10/31/2025,9:54:00 AM,Not fulfilled,31.3
O200,C9,R3,Sandwich Wrap,7/31/2025,12:32:00 PM,Not fulfilled,29.6
O201,C10,R4,Sandwich Wrap,6/2/2025,10:53:00 AM,completed,20.4
O202,C11,R5,Sandwich Wrap,7/4/2025,4:01:00 AM,Not fulfilled,13.2
O203,C12,R6,Lettuce Romaine Chopped,3/5/2026,4:47:00 PM,completed,45.4
O204,C13,R7,Lettuce Romaine Chopped,6/16/2025,5:33:00 PM,Not fulfilled,6.1
O205,C14,R8,Lettuce Romaine Chopped,10/20/2025,5:21:00 PM,completed,45.6
O206,C15,R9,Lettuce Romaine Chopped,3/17/2026,7:17:00 AM,Not fulfilled,23.9
O207,C16,R10,Lettuce Romaine Chopped,10/11/2025,8:32:00 AM,completed,13
O208,C17,R11,Lettuce Romaine Chopped,1/2/2026,9:55:00 AM,completed,38.8
O209,C18,R12,Lettuce Romaine Chopped,2/1/2026,2:18:00 AM,completed,24.2
O210,C19,R13,Lettuce Romaine Chopped,5/13/2026,7:02:00 PM,completed,31.4
O211,C20,R14,Lettuce Romaine Chopped,11/5/2025,11:57:00 AM,completed,9.1
O212,C1,R15,Sandwich Wrap,3/22/2026,8:48:00 PM,completed,47.9
O213,C2,R16,Sandwich Wrap,3/30/2026,6:55:00 PM,completed,24.2
O214,C3,R17,Sandwich Wrap,5/29/2026,11:59:00 AM,Not fulfilled,34
O215,C4,R18,Sandwich Wrap,11/11/2025,9:37:00 AM,completed,16.2
O216,C5,R19,Sandwich Wrap,1/29/2026,10:54:00 AM,completed,35.2
O217,C5,R20,Sandwich Wrap,1/21/2026,6:21:00 AM,completed,43.8
O218,C6,R21,Sandwich Wrap,10/27/2025,12:56:00 PM,completed,5.2
O219,C7,R22,Sandwich Wrap,5/15/2026,2:53:00 PM,completed,5.4
O220,C8,R23,Sandwich Wrap,3/17/2026,7:26:00 PM,Not fulfilled,27.2
O221,C9,R24,Sandwich Wrap,9/19/2025,7:12:00 AM,completed,49.3
O222,C10,R25,Sandwich Wrap,7/19/2025,5:13:00 PM,completed,35.8
O223,C11,R26,Sandwich Wrap,7/18/2025,3:14:00 AM,Not fulfilled,41.3
O224,C12,R27,Sandwich Wrap,1/31/2026,3:59:00 AM,Not fulfilled,14.2
O225,C13,R28,Sandwich Wrap,10/19/2025,7:24:00 PM,completed,7
O226,C14,R1,Sandwich Wrap,11/16/2025,7:43:00 AM,completed,25.1
O227,C15,R2,Sandwich Wrap,9/26/2025,2:23:00 PM,Not fulfilled,18.5
O228,C16,R3,Sandwich Wrap,11/21/2025,10:50:00 PM,completed,47
O229,C17,R4,Sandwich Wrap,4/17/2026,9:10:00 AM,completed,38.5
O230,C18,R5,Sandwich Wrap,11/29/2025,9:23:00 AM,completed,8.6
O231,C19,R6,Sandwich Wrap,3/15/2026,11:45:00 AM,completed,24.2
O232,C20,R7,Sandwich Wrap,4/9/2026,3:09:00 AM,completed,15.6
O233,C5,R8,Sandwich Wrap,6/10/2025,3:46:00 AM,completed,16.2
O234,C6,R9,Sandwich Wrap,4/17/2026,4:26:00 PM,Not fulfilled,44.2
O235,C7,R10,Sandwich Wrap,11/6/2025,4:20:00 AM,completed,35.6
O236,C8,R11,Sandwich Wrap,5/20/2026,8:39:00 PM,completed,49.1
O237,C9,R12,Sandwich Wrap,11/4/2025,9:31:00 PM,Not fulfilled,47
O238,C10,R13,Sandwich Wrap,1/31/2026,6:40:00 AM,completed,42.5
O239,C11,R14,Sandwich Wrap,7/6/2025,9:30:00 PM,completed,34.4
O240,C12,R15,Sandwich Wrap,3/14/2026,5:26:00 PM,Not fulfilled,10.3
O241,C13,R16,Sandwich Wrap,10/19/2025,10:44:00 AM,completed,39.9
O242,C14,R17,Sandwich Wrap,10/23/2025,2:50:00 PM,Not fulfilled,41.4
O243,C15,R18,Sandwich Wrap,3/8/2026,4:44:00 PM,Not fulfilled,41.4
O244,C16,R19,Dikon,7/4/2025,6:12:00 PM,completed,40
O245,C17,R20,Dikon,3/14/2026,5:36:00 AM,Not fulfilled,30
O246,C18,R3,Dikon,12/17/2025,10:41:00 AM,completed,40.2
O247,C19,R4,Dikon,11/22/2025,2:01:00 AM,Not fulfilled,48.3
O248,C20,R5,Dikon,1/31/2026,8:59:00 PM,completed,40.9
O249,C1,R6,Dikon,1/20/2026,10:17:00 PM,completed,12.1
O250,C2,R7,Dikon,10/24/2025,7:47:00 PM,completed,49.2
O251,C3,R8,Dikon,3/29/2026,12:52:00 PM,completed,15.8
O252,C4,R9,Dikon,5/20/2026,6:01:00 PM,Not fulfilled,23.9
O253,C5,R10,Dikon,2/5/2026,10:38:00 PM,Not fulfilled,49.7
O254,C20,R11,Dikon,1/17/2026,1:08:00 PM,Not fulfilled,32.9
O255,C5,R12,Dikon,8/30/2025,5:21:00 AM,completed,31.1
O256,C6,R13,Dikon,10/20/2025,7:04:00 PM,completed,26.5
O257,C7,R14,Dikon,11/26/2025,12:09:00 PM,Not fulfilled,6
O258,C8,R15,Dikon,9/24/2025,8:55:00 PM,Not fulfilled,27.4
O259,C9,R16,Dikon,11/17/2025,9:40:00 AM,completed,40.8
O260,C10,R17,Dikon,10/24/2025,5:50:00 PM,completed,40.5
O261,C11,R12,Dikon,2/21/2026,6:10:00 AM,completed,26.2
O262,C12,R13,Dikon,8/10/2025,12:47:00 PM,completed,35.9
O263,C13,R14,Dikon,10/8/2025,5:26:00 PM,completed,23.7
O264,C14,R15,Dikon,1/2/2026,5:28:00 PM,Not fulfilled,7.7
O265,C15,R16,Dikon,9/22/2025,8:58:00 PM,completed,14.9
O266,C16,R17,Dikon,6/16/2025,3:38:00 AM,Not fulfilled,19.4
O267,C17,R12,Dikon,12/15/2025,4:11:00 PM,completed,25.3
O268,C18,R13,Dikon,4/14/2026,3:41:00 PM,Not fulfilled,42.5
O269,C19,R14,Dikon,7/22/2025,2:17:00 PM,Not fulfilled,23.3
O270,C20,R15,Dikon,1/15/2026,2:26:00 PM,completed,42.1
O271,C1,R16,Dikon,10/8/2025,9:42:00 PM,Not fulfilled,15.1
O272,C2,R17,Dikon,9/10/2025,4:11:00 AM,completed,28.2
O273,C3,R14,Dikon,10/26/2025,9:18:00 PM,Not fulfilled,44.5
O274,C4,R15,Dikon,2/21/2026,1:33:00 PM,completed,6.3
O275,C5,R16,Dikon,12/2/2025,7:00:00 AM,Not fulfilled,43.5
O276,C5,R17,Dikon,6/21/2025,4:45:00 AM,completed,29.2
O277,C6,R1,Dikon,9/19/2025,8:48:00 PM,Not fulfilled,39.5
O278,C7,R2,Dikon,7/26/2025,8:09:00 AM,Not fulfilled,33.1
O279,C8,R3,Dikon,1/9/2026,11:09:00 PM,completed,26.4
O280,C9,R4,Dikon,10/6/2025,9:04:00 PM,completed,40.6
O281,C10,R5,Dikon,9/30/2025,11:55:00 PM,Not fulfilled,19
O282,C11,R6,Dikon,2/17/2026,1:25:00 PM,Not fulfilled,46.9
O283,C12,R7,Dikon,11/21/2025,7:52:00 PM,Not fulfilled,19.9
O284,C13,R8,Dikon,12/22/2025,7:39:00 PM,completed,47.5
O285,C14,R9,Dikon,2/20/2026,6:47:00 PM,Not fulfilled,16.5
O286,C15,R10,Dikon,10/27/2025,3:00:00 PM,Not fulfilled,10.4
O287,C16,R11,Dikon,4/22/2026,10:49:00 PM,Not fulfilled,23.9
O288,C17,R12,Dikon,3/11/2026,8:59:00 AM,Not fulfilled,8.4
O289,C18,R13,Dikon,2/14/2026,1:35:00 AM,Not fulfilled,13.7
O290,C19,R14,Dikon,2/17/2026,12:11:00 AM,Not fulfilled,48.7
O291,C20,R15,Dikon,2/17/2026,4:13:00 AM,Not fulfilled,25.7
O292,C5,R16,Dikon,10/20/2025,10:10:00 PM,Not fulfilled,31.9
O293,C6,R17,Dikon,7/19/2025,8:09:00 PM,Not fulfilled,45.5
O294,C7,R18,Dikon,5/5/2026,5:31:00 AM,Not fulfilled,40.7
O295,C8,R19,Dikon,5/7/2026,11:02:00 AM,Not fulfilled,23.2
O296,C9,R20,Dikon,11/12/2025,6:29:00 AM,completed,26.8
O297,C10,R21,Dikon,4/28/2026,1:32:00 AM,Not fulfilled,30.2
O298,C11,R22,Dikon,5/4/2026,6:55:00 AM,completed,44.1
O299,C12,R23,Dikon,6/19/2025,9:31:00 PM,Not fulfilled,30.4
O300,C13,R24,Dikon,8/17/2025,5:57:00 PM,completed,46.9
O301,C14,R25,Dikon,9/22/2025,3:00:00 PM,completed,24.5
O302,C15,R26,Dikon,5/2/2026,10:46:00 AM,Not fulfilled,6.9
O303,C16,R27,Dikon,2/17/2026,3:36:00 AM,Not fulfilled,45.5
O304,C17,R28,Dikon,11/21/2025,10:32:00 PM,completed,33.9
O305,C18,R1,Dikon,2/12/2026,1:00:00 PM,Not fulfilled,32.5
O306,C19,R2,Dikon,6/5/2025,4:45:00 AM,completed,30.1
O307,C20,R3,Dikon,7/14/2025,2:09:00 AM,completed,25.5
O308,C1,R4,Dikon,9/30/2025,1:01:00 PM,completed,14.4
O309,C2,R5,Dikon,4/8/2026,11:09:00 AM,Not fulfilled,49.5
O310,C3,R6,Dikon,7/28/2025,6:45:00 PM,Not fulfilled,47.8
O311,C19,R7,Dikon,4/8/2026,7:40:00 AM,Not fulfilled,42.5
O312,C20,R8,Dikon,10/15/2025,6:39:00 PM,completed,11.5
